Date,Depth_to_Groundwater_P25
2010-01-02,-29.14
2010-01-03,-29.28
2010-01-04,-29.16
2010-01-05,-29.03
2010-01-06,-29.04
2010-01-07,-29.06
2010-01-08,-28.96
2010-01-09,-28.99
2010-01-10,-29.03
2010-01-11,-29.02
2010-01-12,-28.99
2010-01-13,-28.9
2010-01-14,-28.9
2010-01-15,-28.91
2010-01-16,-28.94
2010-01-17,-28.86
2010-01-18,-28.8
2010-01-19,-28.75
2010-01-20,-28.73
2010-01-21,-28.74
2010-01-22,-28.78
2010-01-23,-28.77
2010-01-24,-28.73
2010-01-25,-28.69
2010-01-26,-28.6
2010-01-27,-28.55
2010-01-28,-28.43
2010-01-29,-28.41
2010-01-30,-28.36
2010-01-31,-28.44
2010-02-01,-28.5
2010-02-02,-28.52
2010-02-03,-28.5
2010-02-04,-28.51
2010-02-05,-28.41
2010-02-06,-28.37
2010-02-07,-28.3
2010-02-08,-28.35
2010-02-09,-28.3
2010-02-10,-28.23
2010-02-11,-28.26
2010-02-12,-28.29
2010-02-13,-28.37
2010-02-14,-28.28
2010-02-15,-28.26
2010-02-16,-28.22
2010-02-17,-28.15
2010-02-18,-28.14
2010-02-19,-28.05
2010-02-20,-28.05
2010-02-21,-28.1
2010-02-22,-28.03
2010-02-23,-27.96
2010-02-24,-27.97
2010-02-25,-27.91
2010-02-26,-27.83
2010-02-27,-27.9
2010-02-28,-27.77
2010-03-01,-27.7
2010-03-02,-27.8
2010-03-03,-27.65
2010-03-04,-27.56
2010-03-05,-27.62
2010-03-06,-27.62
2010-03-07,-27.56
2010-03-08,-27.48
2010-03-09,-27.39
2010-03-10,-27.37
2010-03-11,-27.37
2010-03-12,-27.37
2010-03-13,-27.35
2010-03-14,-27.29
2010-03-15,-27.26
2010-03-16,-27.27
2010-03-17,-27.27
2010-03-18,-27.22
2010-03-19,-27.16
2010-03-20,-27.08
2010-03-21,-26.95
2010-03-22,-26.94
2010-03-23,-26.9
2010-03-24,-26.88
2010-03-25,-26.85
2010-03-26,-26.78
2010-03-27,-26.71
2010-03-28,-26.64
2010-03-29,-26.63
2010-03-30,-26.55
2010-03-31,-26.56
2010-04-01,-26.58
2010-04-02,-26.56
2010-04-03,-26.58
2010-04-04,-26.51
2010-04-05,-26.34
2010-04-06,-26.35
2010-04-07,-26.38
2010-04-08,-26.33
2010-04-09,-26.35
2010-04-10,-26.34
2010-04-11,-26.21
2010-04-12,-26.2
2010-04-13,-26.17
2010-04-14,-26.11
2010-04-15,-26.17
2010-04-16,-26.16
2010-04-17,-26.15
2010-04-18,-26.09
2010-04-19,-26.1
2010-04-20,-26.1
2010-04-21,-26.1
2010-04-22,-26.05
2010-04-23,-26.04
2010-04-24,-25.98
2010-04-25,-25.98
2010-04-26,-25.98
2010-04-27,-26.03
2010-04-28,-26.01
2010-04-29,-26.0
2010-04-30,-25.99
2010-05-01,-25.97
2010-05-02,-25.79
2010-05-03,-25.69
2010-05-04,-25.65
2010-05-05,-25.73
2010-05-06,-25.76
2010-05-07,-25.78
2010-05-08,-25.78
2010-05-09,-25.69
2010-05-10,-25.66
2010-05-11,-25.61
2010-05-12,-25.65
2010-05-13,-25.63
2010-05-14,-25.6
2010-05-15,-25.49
2010-05-16,-25.51
2010-05-17,-25.53
2010-05-18,-25.55
2010-05-19,-25.5
2010-05-20,-25.52
2010-05-21,-25.52
2010-05-22,-25.52
2010-05-23,-25.49
2010-05-24,-25.32
2010-05-25,-25.39
2010-05-26,-25.41
2010-05-27,-25.38
2010-05-28,-25.38
2010-05-29,-25.4
2010-05-30,-25.33
2010-05-31,-25.23
2010-06-01,-25.25
2010-06-02,-25.21
2010-06-03,-25.09
2010-06-04,-25.14
2010-06-05,-25.27
2010-06-06,-25.26
2010-06-07,-25.27
2010-06-08,-25.32
2010-06-09,-25.36
2010-06-10,-25.39
2010-06-11,-25.43
2010-06-12,-25.47
2010-06-13,-25.33
2010-06-14,-25.38
2010-06-15,-25.41
2010-06-16,-25.36
2010-06-17,-25.39
2010-06-18,-25.42
2010-06-19,-25.36
2010-06-20,-25.08
2010-06-21,-24.98
2010-06-22,-25.09
2010-06-23,-25.14
2010-06-24,-25.17
2010-06-25,-25.27
2010-06-26,-25.29
2010-06-27,-25.04
2010-06-28,-25.16
2010-06-29,-25.24
2010-06-30,-25.35
2010-07-01,-25.45
2010-07-02,-25.48
2010-07-03,-25.56
2010-07-04,-25.53
2010-07-05,-25.57
2010-07-06,-25.6
2010-07-07,-25.66
2010-07-08,-25.76
2010-07-09,-25.81
2010-07-10,-25.88
2010-07-11,-25.75
2010-07-12,-25.8
2010-07-13,-25.89
2010-07-14,-25.95
2010-07-15,-26.04
2010-07-16,-26.12
2010-07-17,-26.21
2010-07-18,-26.16
2010-07-19,-26.08
2010-07-20,-26.17
2010-07-21,-26.34
2010-07-22,-26.38
2010-07-23,-26.4
2010-07-24,-26.45
2010-07-25,-26.31
2010-07-26,-26.29
2010-07-27,-26.29
2010-07-28,-26.29
2010-07-29,-26.3
2010-07-30,-26.22
2010-07-31,-26.2
2010-08-01,-26.11
2010-08-02,-26.17
2010-08-03,-26.27
2010-08-04,-26.27
2010-08-05,-26.34
2010-08-06,-26.31
2010-08-07,-26.31
2010-08-08,-26.29
2010-08-09,-26.34
2010-08-10,-26.47
2010-08-11,-26.47
2010-08-12,-26.49
2010-08-13,-26.48
2010-08-14,-26.24
2010-08-15,-26.18
2010-08-16,-26.24
2010-08-17,-26.3
2010-08-18,-26.3
2010-08-19,-26.35
2010-08-20,-26.42
2010-08-21,-26.42
2010-08-22,-26.38
2010-08-23,-26.36
2010-08-24,-26.43
2010-08-25,-26.46
2010-08-26,-26.45
2010-08-27,-26.47
2010-08-28,-26.45
2010-08-29,-26.39
2010-08-30,-26.32
2010-08-31,-26.27
2010-09-01,-26.38
2010-09-02,-26.44
2010-09-03,-26.49
2010-09-04,-26.53
2010-09-05,-26.48
2010-09-06,-26.41
2010-09-07,-26.44
2010-09-08,-26.42
2010-09-09,-26.43
2010-09-10,-26.45
2010-09-11,-26.43
2010-09-12,-26.46
2010-09-13,-26.44
2010-09-14,-26.35
2010-09-15,-26.38
2010-09-16,-26.39
2010-09-17,-26.45
2010-09-18,-26.46
2010-09-19,-26.37
2010-09-20,-26.36
2010-09-21,-26.38
2010-09-22,-26.37
2010-09-23,-26.38
2010-09-24,-26.32
2010-09-25,-26.26
2010-09-26,-26.25
2010-09-27,-26.36
2010-09-28,-26.48
2010-09-29,-26.51
2010-09-30,-26.45
2010-10-01,-26.42
2010-10-02,-26.46
2010-10-03,-26.45
2010-10-04,-26.43
2010-10-05,-26.38
2010-10-06,-26.4
2010-10-07,-26.44
2010-10-08,-26.44
2010-10-09,-26.45
2010-10-10,-26.35
2010-10-11,-26.34
2010-10-12,-26.36
2010-10-13,-26.32
2010-10-14,-26.32
2010-10-15,-26.31
2010-10-16,-26.33
2010-10-17,-26.31
2010-10-18,-26.32
2010-10-19,-26.33
2010-10-20,-26.36
2010-10-21,-26.4
2010-10-22,-26.46
2010-10-23,-26.5
2010-10-24,-26.53
2010-10-25,-26.37
2010-10-26,-26.43
2010-10-27,-26.51
2010-10-28,-26.47
2010-10-29,-26.46
2010-10-30,-26.45
2010-10-31,-26.34
2010-11-01,-26.28
2010-11-02,-26.28
2010-11-03,-26.4
2010-11-04,-26.49
2010-11-05,-26.5
2010-11-06,-26.38
2010-11-07,-26.26
2010-11-08,-26.14
2010-11-09,-26.14
2010-11-10,-26.27
2010-11-11,-26.42
2010-11-12,-26.35
2010-11-13,-26.35
2010-11-14,-26.38
2010-11-15,-26.32
2010-11-16,-26.3
2010-11-17,-26.32
2010-11-18,-26.38
2010-11-19,-26.41
2010-11-20,-26.43
2010-11-21,-26.27
2010-11-22,-26.26
2010-11-23,-26.29
2010-11-24,-26.33
2010-11-25,-26.32
2010-11-26,-26.25
2010-11-27,-26.35
2010-11-28,-26.22
2010-11-29,-26.31
2010-11-30,-26.33
2010-12-01,-26.26
2010-12-02,-26.37
2010-12-03,-26.41
2010-12-04,-26.42
2010-12-05,-26.3
2010-12-06,-26.16
2010-12-07,-26.08
2010-12-08,-26.04
2010-12-09,-25.92
2010-12-10,-25.97
2010-12-11,-25.94
2010-12-12,-25.68
2010-12-13,-25.76
2010-12-14,-25.72
2010-12-15,-25.65
2010-12-16,-25.62
2010-12-17,-25.54
2010-12-18,-25.49
2010-12-19,-25.48
2010-12-20,-25.34
2010-12-21,-25.32
2010-12-22,-25.26
2010-12-23,-25.14
2010-12-24,-25.08
2010-12-25,-25.01
2010-12-26,-24.96
2010-12-27,-25.03
2010-12-28,-24.99
2010-12-29,-24.97
2010-12-30,-24.86
2010-12-31,-24.86
2011-01-01,-24.82
2011-01-02,-24.64
2011-01-03,-24.71
2011-01-04,-24.66
2011-01-05,-24.6
2011-01-06,-24.56
2011-01-07,-24.53
2011-01-08,-24.53
2011-01-09,-24.47
2011-01-10,-24.38
2011-01-11,-24.3
2011-01-12,-24.32
2011-01-13,-24.27
2011-01-14,-24.26
2011-01-15,-24.27
2011-01-16,-24.27
2011-01-17,-24.19
2011-01-18,-24.14
2011-01-19,-24.06
2011-01-20,-23.98
2011-01-21,-23.98
2011-01-22,-23.96
2011-01-23,-23.92
2011-01-24,-23.95
2011-01-25,-23.89
2011-01-26,-23.8
2011-01-27,-23.82
2011-01-28,-23.85
2011-01-29,-23.9
2011-01-30,-23.84
2011-01-31,-23.79
2011-02-01,-23.77
2011-02-02,-23.72
2011-02-03,-23.7
2011-02-04,-23.75
2011-02-05,-23.73
2011-02-06,-23.67
2011-02-07,-23.62
2011-02-08,-23.59
2011-02-09,-23.53
2011-02-10,-23.53
2011-02-11,-23.5
2011-02-12,-23.45
2011-02-13,-23.4
2011-02-14,-23.38
2011-02-15,-23.34
2011-02-16,-23.25
2011-02-17,-23.3
2011-02-18,-23.29
2011-02-19,-23.38
2011-02-20,-23.35
2011-02-21,-23.24
2011-02-22,-23.25
2011-02-23,-23.3
2011-02-24,-23.31
2011-02-25,-23.32
2011-02-26,-23.28
2011-02-27,-23.2
2011-02-28,-23.18
2011-03-01,-23.19
2011-03-02,-23.21
2011-03-03,-23.23
2011-03-04,-23.26
2011-03-05,-23.22
2011-03-06,-23.24
2011-03-07,-23.33
2011-03-08,-23.36
2011-03-09,-23.27
2011-03-10,-23.28
2011-03-11,-23.28
2011-03-12,-23.28
2011-03-13,-23.2
2011-03-14,-23.2
2011-03-15,-23.2
2011-03-16,-23.15
2011-03-17,-23.18
2011-03-18,-23.2
2011-03-19,-23.28
2011-03-20,-23.26
2011-03-21,-23.24
2011-03-22,-23.28
2011-03-23,-23.26
2011-03-24,-23.28
2011-03-25,-23.23
2011-03-26,-23.18
2011-03-27,-23.16
2011-03-28,-23.05
2011-03-29,-23.06
2011-03-30,-23.14
2011-03-31,-23.16
2011-04-01,-23.18
2011-04-02,-23.19
2011-04-03,-23.15
2011-04-04,-23.16
2011-04-05,-23.19
2011-04-06,-23.19
2011-04-07,-23.2
2011-04-08,-23.16
2011-04-09,-23.16
2011-04-10,-23.15
2011-04-11,-23.13
2011-04-12,-23.11
2011-04-13,-23.1
2011-04-14,-23.14
2011-04-15,-23.07
2011-04-16,-23.12
2011-04-17,-23.13
2011-04-18,-23.13
2011-04-19,-23.16
2011-04-20,-23.19
2011-04-21,-23.26
2011-04-22,-23.18
2011-04-23,-23.22
2011-04-24,-23.08
2011-04-25,-22.95
2011-04-26,-22.94
2011-04-27,-23.02
2011-04-28,-23.05
2011-04-29,-23.07
2011-04-30,-22.96
2011-05-01,-22.96
2011-05-02,-23.0
2011-05-03,-22.96
2011-05-04,-23.08
2011-05-05,-23.17
2011-05-06,-23.21
2011-05-07,-23.29
2011-05-08,-23.23
2011-05-09,-23.25
2011-05-10,-23.29
2011-05-11,-23.34
2011-05-12,-23.36
2011-05-13,-23.43
2011-05-14,-23.47
2011-05-15,-23.4
2011-05-16,-23.25
2011-05-17,-23.3
2011-05-18,-23.26
2011-05-19,-23.31
2011-05-20,-23.34
2011-05-21,-23.3
2011-05-22,-23.3
2011-05-23,-23.36
2011-05-24,-23.35
2011-05-25,-23.47
2011-05-26,-23.48
2011-05-27,-23.41
2011-05-28,-23.34
2011-05-29,-23.33
2011-05-30,-23.31
2011-05-31,-23.4
2011-06-01,-23.33
2011-06-02,-23.25
2011-06-03,-23.29
2011-06-04,-23.27
2011-06-05,-23.18
2011-06-06,-23.18
2011-06-07,-23.18
2011-06-08,-23.2
2011-06-09,-23.24
2011-06-10,-23.28
2011-06-11,-23.34
2011-06-12,-23.27
2011-06-13,-23.23
2011-06-14,-23.3
2011-06-15,-23.39
2011-06-16,-23.5
2011-06-17,-23.58
2011-06-18,-23.55
2011-06-19,-23.56
2011-06-20,-23.61
2011-06-21,-23.75
2011-06-22,-23.79
2011-06-23,-23.93
2011-06-24,-23.95
2011-06-25,-24.0
2011-06-26,-24.02
2011-06-27,-24.0
2011-06-28,-24.08
2011-06-29,-24.13
2011-06-30,-24.06
2011-07-01,-24.06
2011-07-02,-23.95
2011-07-03,-23.83
2011-07-04,-23.97
2011-07-05,-23.99
2011-07-06,-24.03
2011-07-07,-24.22
2011-07-08,-24.29
2011-07-09,-24.39
2011-07-10,-24.39
2011-07-11,-24.38
2011-07-12,-24.49
2011-07-13,-24.55
2011-07-14,-24.58
2011-07-15,-24.62
2011-07-16,-24.64
2011-07-17,-24.59
2011-07-18,-24.57
2011-07-19,-24.58
2011-07-20,-24.57
2011-07-21,-24.61
2011-07-22,-24.73
2011-07-23,-24.76
2011-07-24,-24.64
2011-07-25,-24.4
2011-07-26,-24.43
2011-07-27,-24.43
2011-07-28,-24.39
2011-07-29,-24.37
2011-07-30,-24.36
2011-07-31,-24.37
2011-08-01,-24.4
2011-08-02,-24.47
2011-08-03,-24.57
2011-08-04,-24.56
2011-08-05,-24.58
2011-08-06,-24.65
2011-08-07,-24.65
2011-08-08,-24.65
2011-08-09,-24.71
2011-08-10,-24.79
2011-08-11,-24.8
2011-08-12,-24.81
2011-08-13,-24.83
2011-08-14,-24.81
2011-08-15,-24.77
2011-08-16,-24.78
2011-08-17,-24.9
2011-08-18,-24.96
2011-08-19,-25.01
2011-08-20,-25.11
2011-08-21,-25.1
2011-08-22,-25.1
2011-08-23,-25.17
2011-08-24,-25.2
2011-08-25,-25.24
2011-08-26,-25.22
2011-08-27,-25.23
2011-08-28,-25.2
2011-08-29,-25.19
2011-08-30,-25.2
2011-08-31,-25.23
2011-09-01,-25.32
2011-09-02,-25.34
2011-09-03,-25.36
2011-09-04,-25.34
2011-09-05,-25.26
2011-09-06,-25.34
2011-09-07,-25.37
2011-09-08,-25.36
2011-09-09,-25.36
2011-09-10,-25.45
2011-09-11,-25.51
2011-09-12,-25.53
2011-09-13,-25.55
2011-09-14,-25.62
2011-09-15,-25.64
2011-09-16,-25.69
2011-09-17,-25.72
2011-09-18,-25.64
2011-09-19,-25.53
2011-09-20,-25.55
2011-09-21,-25.54
2011-09-22,-25.55
2011-09-23,-25.59
2011-09-24,-25.66
2011-09-25,-25.68
2011-09-26,-25.63
2011-09-27,-25.7
2011-09-28,-25.76
2011-09-29,-25.82
2011-09-30,-25.85
2011-10-01,-25.88
2011-10-02,-25.89
2011-10-03,-25.93
2011-10-04,-25.93
2011-10-05,-25.96
2011-10-06,-25.97
2011-10-07,-25.92
2011-10-08,-25.94
2011-10-09,-25.91
2011-10-10,-25.9
2011-10-11,-25.98
2011-10-12,-26.0
2011-10-13,-26.01
2011-10-14,-26.0
2011-10-15,-26.05
2011-10-16,-26.06
2011-10-17,-26.03
2011-10-18,-26.04
2011-10-19,-25.99
2011-10-20,-25.95
2011-10-21,-25.95
2011-10-22,-26.0
2011-10-23,-26.01
2011-10-24,-25.99
2011-10-25,-26.01
2011-10-26,-26.02
2011-10-27,-26.07
2011-10-28,-26.15
2011-10-29,-26.15
2011-10-30,-26.11
2011-10-31,-26.14
2011-11-01,-26.19
2011-11-02,-26.19
2011-11-03,-26.23
2011-11-04,-26.24
2011-11-05,-26.26
2011-11-06,-26.25
2011-11-07,-26.29
2011-11-08,-26.34
2011-11-09,-26.34
2011-11-10,-26.37
2011-11-11,-26.45
2011-11-12,-26.53
2011-11-13,-26.58
2011-11-14,-26.54
2011-11-15,-26.54
2011-11-16,-26.57
2011-11-17,-26.62
2011-11-18,-26.66
2011-11-19,-26.69
2011-11-20,-26.67
2011-11-21,-26.67
2011-11-22,-26.67
2011-11-23,-26.71
2011-11-24,-26.77
2011-11-25,-26.79
2011-11-26,-26.81
2011-11-27,-26.83
2011-11-28,-26.81
2011-11-29,-26.82
2011-11-30,-26.89
2011-12-01,-26.89
2011-12-02,-26.83
2011-12-03,-26.84
2011-12-04,-26.85
2011-12-05,-26.81
2011-12-06,-26.89
2011-12-07,-26.95
2011-12-08,-26.98
2011-12-09,-26.98
2011-12-10,-26.97
2011-12-11,-26.98
2011-12-12,-26.87
2011-12-13,-26.93
2011-12-14,-26.96
2011-12-15,-27.01
2011-12-16,-27.06
2011-12-17,-27.04
2011-12-18,-27.11
2011-12-19,-27.12
2011-12-20,-27.11
2011-12-21,-27.1
2011-12-22,-27.15
2011-12-23,-27.18
2011-12-24,-27.17
2011-12-25,-27.21
2011-12-26,-27.13
2011-12-27,-27.14
2011-12-28,-27.16
2011-12-29,-27.13
2011-12-30,-27.1
2011-12-31,-27.23
2012-01-01,-27.27
2012-01-02,-27.19
2012-01-03,-27.2
2012-01-04,-27.22
2012-01-05,-27.16
2012-01-06,-27.2
2012-01-07,-27.32
2012-01-08,-27.33
2012-01-09,-27.37
2012-01-10,-27.43
2012-01-11,-27.45
2012-01-12,-27.46
2012-01-13,-27.38
2012-01-14,-27.4
2012-01-15,-27.46
2012-01-16,-27.49
2012-01-17,-27.54
2012-01-18,-27.58
2012-01-19,-27.59
2012-01-20,-27.45
2012-01-21,-27.52
2012-01-22,-27.53
2012-01-23,-27.55
2012-01-24,-27.55
2012-01-25,-27.63
2012-01-26,-27.65
2012-01-27,-27.71
2012-01-28,-27.7
2012-01-29,-27.66
2012-01-30,-27.69
2012-01-31,-27.69
2012-02-01,-27.63
2012-02-02,-27.7
2012-02-03,-27.75
2012-02-04,-27.82
2012-02-05,-27.87
2012-02-06,-27.84
2012-02-07,-27.78
2012-02-08,-27.91
2012-02-09,-27.95
2012-02-10,-27.93
2012-02-11,-27.9
2012-02-12,-27.91
2012-02-13,-28.0
2012-02-14,-28.02
2012-02-15,-28.06
2012-02-16,-28.08
2012-02-17,-28.18
2012-02-18,-28.18
2012-02-19,-28.16
2012-02-20,-28.17
2012-02-21,-28.21
2012-02-22,-28.23
2012-02-23,-28.24
2012-02-24,-28.27
2012-02-25,-28.28
2012-02-26,-28.25
2012-02-27,-28.26
2012-02-28,-28.21
2012-02-29,-28.16
2012-03-01,-28.21
2012-03-02,-28.24
2012-03-03,-28.27
2012-03-04,-28.23
2012-03-05,-28.2
2012-03-06,-28.21
2012-03-07,-28.29
2012-03-08,-28.24
